iter	Passed	Remaining
407	5866	8511
408	5880	8497
409	5895	8483
410	5909	8468
411	5922	8452
412	5936	8438
413	5950	8423
414	5965	8409
415	5981	8396
416	5995	8382
417	6009	8367
418	6023	8352
419	6037	8337
420	6051	8322
421	6066	8309
422	6080	8294
423	6094	8279
424	6107	8263
425	6122	8248
426	6135	8233
427	6149	8218
428	6163	8203
429	6178	8189
430	6191	8174
431	6205	8159
432	6219	8144
433	6232	8128
434	6246	8113
435	6261	8099
436	6274	8083
437	6288	8068
438	6302	8054
439	6318	8041
440	6332	8027
441	6345	8010
442	6359	7996
443	6375	7983
444	6389	7969
445	6404	7954
446	6419	7941
447	6432	7925
448	6446	7910
449	6460	7895
450	6474	7881
451	6489	7867
452	6506	7856
453	6522	7844
454	6536	7829
455	6548	7812
456	6561	7795
457	6573	7778
458	6585	7761
459	6596	7743
460	6606	7724
461	6617	7706
462	6627	7687
463	6640	7670
464	6651	7652
465	6660	7632
466	6672	7615
467	6684	7599
468	6697	7583
469	6710	7567
470	6723	7551
471	6737	7536
472	6750	7520
473	6763	7505
474	6776	7489
475	6787	7472
476	6802	7458
477	6816	7443
478	6829	7428
479	6842	7412
480	6855	7397
481	6869	7382
482	6883	7367
483	6897	7353
484	6910	7338
485	6925	7324
486	6940	7310
487	6953	7295
488	6967	7280
489	6982	7267
490	6997	7254
491	7013	7241
492	7027	7227
493	7042	7213
494	7055	7198
495	7068	7183
496	7082	7167
497	7096	7153
498	7111	7139
499	7125	7125
500	7139	7110
501	7154	7097
502	7166	7081
503	7181	7067
504	7195	7052
505	7210	7039
506	7225	7026
507	7241	7013
508	7257	7000
509	7270	6985
510	7282	6968
511	7295	6953
512	7308	6938
513	7322	6923
514	7337	6909
515	7352	6896
516	7365	6881
517	7380	6867
518	7395	6854
519	7411	6841
520	7426	6827
521	7441	6814
522	7455	6799
523	7471	6787
524	7487	6774
525	7501	6759
526	7513	6743
527	7524	6726
528	7537	6710
529	7548	6693
530	7559	6676
531	7574	6663
532	7587	6647
533	7601	6633
534	7616	6620
535	7631	6606
536	7643	6590
537	7656	6575
538	7670	6560
539	7683	6545
540	7697	6530
541	7712	6516
542	7726	6502
543	7740	6488
544	7755	6475
545	7770	6461
546	7785	6447
547	7799	6433
548	7814	6419
549	7830	6406
550	7845	6392
551	7858	6378
552	7872	6363
553	7886	6349
554	7900	6334
555	7914	6319
556	7928	6305
557	7943	6292
558	7957	6277
559	7970	6262
560	7985	6249
561	7999	6234
562	8013	6220
563	8029	6207
564	8044	6193
565	8059	6179
566	8074	6166
567	8088	6152
568	8103	6138
569	8117	6123
570	8132	6110
571	8148	6097
572	8162	6082
573	8175	6067
574	8189	6053
575	8201	6037
576	8213	6021
577	8229	6008
578	8244	5994
579	8257	5979
580	8272	5966
581	8286	5951
582	8299	5936
583	8313	5921
584	8327	5907
585	8341	5893
586	8355	5878
587	8371	5865
588	8385	5851
589	8401	5838
590	8414	5823
591	8429	5809
592	8446	5796
593	8461	5783
594	8473	5767
595	8486	5752
596	8497	5735
597	8509	5720
598	8522	5705
599	8536	5691
600	8551	5677
601	8565	5662
602	8578	5647
603	8592	5633
604	8607	5619
605	8623	5606
606	8637	5592
607	8651	5577
608	8665	5563
609	8679	5549
610	8694	5535
611	8708	5521
612	8722	5506
613	8735	5491
614	8750	5477
615	8764	5463
616	8778	5449
617	8791	5434
618	8804	5419
619	8821	5406
620	8836	5393
621	8852	5379
622	8865	5364
623	8879	5350
624	8892	5335
625	8906	5320
626	8920	5306
627	8935	5292
628	8949	5278
629	8964	5264
630	8979	5250
631	8994	5237
632	9007	5222
633	9019	5206
634	9031	5191
635	9043	5175
636	9057	5161
637	9071	5146
638	9086	5133
639	9099	5118
640	9114	5104
641	9128	5090
642	9142	5075
643	9156	5061
644	9171	5048
645	9185	5033
646	9200	5019
647	9216	5006
648	9232	4993
649	9246	4978
650	9260	4964
651	9274	4950
652	9290	4936
653	9303	4922
654	9317	4907
655	9331	4893
656	9345	4878
657	9360	4865
658	9375	4851
659	9389	4837
660	9403	4822
661	9418	4809
662	9434	4795
663	9448	4781
664	9460	4765
665	9471	4750
666	9484	4735
667	9496	4719
668	9507	4704
669	9520	4689
670	9535	4675
671	9549	4661
672	9563	4646
673	9577	4632
674	9591	4618
675	9605	4604
676	9619	4589
677	9633	4575
678	9647	4560
679	9659	4545
680	9670	4529
681	9685	4515
682	9700	4502
683	9714	4487
684	9727	4473
685	9742	4459
686	9757	4445
687	9770	4430
688	9785	4417
689	9800	4403
690	9814	4388
691	9827	4374
692	9841	4359
693	9855	4345
694	9868	4330
695	9882	4316
696	9898	4302
697	9913	4289
698	9926	4274
699	9940	4260
700	9954	4245
701	9968	4231
702	9981	4217
703	9996	4203
704	10011	4189
705	10027	4175
706	10041	4161
707	10055	4147
708	10069	4132
709	10082	4118
710	10098	4104
711	10114	4091
712	10128	4076
713	10142	4062
714	10156	4048
715	10170	4033
716	10183	4019
717	10197	4005
718	10211	3990
719	10226	3976
720	10240	3962
721	10255	3948
722	10269	3934
723	10284	3920
724	10298	3906
725	10313	3892
726	10327	3878
727	10341	3863
728	10355	3849
729	10369	3835
730	10383	3820
731	10397	3806
732	10412	3792
733	10427	3779
734	10441	3764
735	10453	3749
736	10464	3734
737	10475	3718
738	10485	3703
739	10495	3687
740	10507	3672
741	10521	3658
742	10535	3644
743	10547	3629
744	10559	3614
745	10572	3599
746	10586	3585
747	10601	3571
748	10615	3557
749	10630	3543
750	10645	3529
751	10660	3515
752	10674	3501
753	10688	3487
754	10702	3472
755	10717	3459
756	10731	3444
757	10744	3430
758	10758	3415
759	10771	3401
760	10785	3387
761	10799	3372
762	10812	3358
763	10828	3344
764	10841	3330
765	10857	3316
766	10872	3302
767	10885	3288
768	10899	3274
769	10912	3259
770	10926	3245
771	10940	3231
772	10955	3217
773	10969	3203
774	10983	3188
775	10998	3174
776	11014	3161
777	11029	3147
778	11044	3133
779	11060	3119
780	11075	3105
781	11090	3091
782	11103	3077
783	11117	3063
784	11132	3049
785	11146	3034
786	11160	3020
787	11175	3006
788	11188	2992
789	11202	2977
790	11215	2963
791	11230	2949
792	11246	2935
793	11261	2921
794	11275	2907
795	11289	2893
796	11304	2879
797	11318	2865
798	11332	2850
799	11348	2837
800	11364	2823
801	11379	2809
802	11393	2795
803	11409	2781
804	11422	2767
805	11434	2752
806	11445	2737
807	11456	2722
808	11466	2707
809	11476	2692
810	11488	2677
